StationID,PortNumber,PortType,Status,Year,Month,Day,Hour,Min,CarLicense
101,1,FAST,1,2025,7,12,5,33,25529962
101,2,MID,1,2025,6,30,14,32,87654321
101,3,SLOW,1,2025,6,30,14,35,23456789
101,4,MID,1,2025,6,30,14,37,34567890
101,5,FAST,1,2025,7,12,5,30,24799602
101,6,MID,1,2025,7,12,5,31,27205295
205,1,FAST,2,0,0,0,0,0,-1
205,2,MID,2,0,0,0,0,0,-1
205,3,SLOW,2,0,0,0,0,0,-1
307,1,FAST,2,0,0,0,0,0,-1
307,2,FAST,2,0,0,0,0,0,-1
307,4,MID,2,0,0,0,0,0,-1
307,5,MID,2,0,0,0,0,0,-1
412,1,FAST,1,2025,7,12,5,33,28173908
518,1,MID,1,2025,6,30,11,15,55667788
518,2,SLOW,2,0,0,0,0,0,-1
518,3,MID,2,0,0,0,0,0,-1
518,4,FAST,1,2025,6,30,11,45,66778899
518,5,MID,2,0,0,0,0,0,-1
518,6,SLOW,2,0,0,0,0,0,-1
623,1,MID,1,2025,6,30,13,20,99887766
623,2,FAST,2,0,0,0,0,0,-1
623,3,SLOW,3,0,0,0,0,0,-1
623,4,MID,2,0,0,0,0,0,-1
